S.No,Chipset SP,Customer,PDM Name
1,MSM8976.LA.1.2.c25      ,"A,C",1
2,SDM660.LA.2.1.c27  ,H,2
3,MSM8837.LA.3.0.1.c26  ,B,3
4,SDA660.LA.2.5.c25 ,"C,D",4
5,MSM8909.LA.2.0.1.c25 ,A,5
6,MSM8909.LA.3.1.2.c26 ,"A,B",6
7,SDM600.LA.2.1.c25,"C,B,D,A",7
8,MSM8051.LA.1.2.c25,"Q,L",8
9,SDM400.LA.3.1.1.c25,P,1
10,SDM660.LA.3.0.2.C25 ,S,2
11,MSM8953.LA.2.0.c25,L,3
12,QCM2050.LA.1.1.c25,"Q,L",4
13,QCM6125.LA.1.1.c25,M,5
14,SDM660.LA.2.0.c28,"N,M",6
15,SDM660.LA.2.1.1.C6,"A,M",8
16,QCS600.LA.2.3.c25,"Q,A",7
17,SDM845.LA.1.0.1.c25,"C,M",1
18,MSM8953.LA.3.2.1.c26,"N,K",2
19,SDM660.LA.1.0.c35,K,3
20,MSM8909.LA.3.0.c25,M,4
21,SXR1100.LA.2.1.1.C25,"B,C",5
22,Kamorta.LA.2.0,A,6
23,SXR2130.LA.1.0.1.C25,D,8
24,MSM8908.LA.1.1.C25,E,7
25,MSM8909.LA.3.1.1.c24,"K,M",1
26,Kamorta.LA.2.0.C24,"O,P",2
27,SDM450.LA.3.1.4.C25,"C,D",3
28,SDM670.LA.1.1.1.c26,"B,E",4
29,SDM400.LA.3.2.4.C26,"L,M",5
30,Arrax.LA.1.0.C26,"E,A",6
31,Kamorta.LA.2.0.C28,D,8
32,MSM8937.LA.3.0.1.c26  ,"A,D",7
